N|D1|D2|D3
188|2.2204|0.6325|1.8028
189|2.1095|0.4472|1.8248
190|2.0125|0.2828|1.8682
191|1.9313|0.2000|1.9313
192|1.8682|0.2828|2.0125
193|1.8248|0.4472|2.1095
194|1.8028|0.6325|2.2204
195|1.8028|0.8246|2.3431
196|1.8248|1.0198|2.4759
197|1.8682|1.2166|2.6173
198|1.9313|1.4142|2.7659
199|2.0125|1.6125|2.9206
200|2.1095|1.8111|3.0806
